prop_id,Win,Bet,Prop_OU,abs_resid
"Wendell Carter Jr._Total Points, Rebounds and Assists_2021-02-19",0,0.03,"Total Points, Rebounds and Assists_Over",1.120000000000001
"Zach Lavine_Total Points, Rebounds and Assists_2021-02-19",0,0.02,"Total Points, Rebounds and Assists_Under",1.9000000000000057
Coby White_Total Made 3 Point Shots_2021-02-19,1,0.01,Total Made 3 Point Shots_Under,0.25
Danny Green_Total Made 3 Point Shots_2021-02-19,1,0.35,Total Made 3 Point Shots_Over,0.71
Seth Curry_Total Made 3 Point Shots_2021-02-19,0,0.72,Total Made 3 Point Shots_Over,1.27
Tobias Harris_Total Made 3 Point Shots_2021-02-19,0,0.21,Total Made 3 Point Shots_Over,0.28
Zach Lavine_Total Made 3 Point Shots_2021-02-19,0,0.04,Total Made 3 Point Shots_Over,0.040000000000000036
Ben Simmons_Total Blocks and Steals_2021-02-19,0,0.04,Total Blocks and Steals_Over,0.010000000000000231
Wendell Carter Jr._Total Blocks and Steals_2021-02-19,0,0.01,Total Blocks and Steals_Over,0.06000000000000005
Zach Lavine_Total Blocks and Steals_2021-02-19,1,0.06,Total Blocks and Steals_Over,0.1299999999999999
Andrew Wiggins_Total Points_2021-02-19,0,0.01,Total Points_Over,0.8999999999999986
Kelly Oubre Jr._Total Points_2021-02-19,1,0.08,Total Points_Over,1.8999999999999986
Andrew Wiggins_Total Rebounds and Assists_2021-02-19,0,0.08,Total Rebounds and Assists_Over,0.9100000000000001
Evan Fournier_Total Rebounds and Assists_2021-02-19,1,0.08,Total Rebounds and Assists_Over,0.7999999999999998
Kelly Oubre Jr._Total Rebounds and Assists_2021-02-19,1,0.06,Total Rebounds and Assists_Over,0.8900000000000006
Stephen Curry_Total Rebounds and Assists_2021-02-19,1,0.02,Total Rebounds and Assists_Over,0.6600000000000001
"Evan Fournier_Total Points, Rebounds and Assists_2021-02-19",1,0.01,"Total Points, Rebounds and Assists_Over",1.5
"Kelly Oubre Jr._Total Points, Rebounds and Assists_2021-02-19",1,0.05,"Total Points, Rebounds and Assists_Over",2.2899999999999956
"Stephen Curry_Total Points, Rebounds and Assists_2021-02-19",1,0.01,"Total Points, Rebounds and Assists_Over",2.0600000000000023
Cedi Osman_Total Points_2021-02-19,0,0.04,Total Points_Over,1.1999999999999993
Jamal Murray_Total Points_2021-02-19,0,0.03,Total Points_Under,1.3999999999999986
Jarrett Allen_Total Points_2021-02-19,1,0.08,Total Points_Over,2
Michael Porter Jr._Total Points_2021-02-19,1,0.09,Total Points_Over,1.6000000000000014
Jarrett Allen_Total Rebounds_2021-02-19,0,0.02,Total Rebounds_Over,0.5199999999999996
Jarrett Allen_Total Points and Rebounds_2021-02-19,1,0.04,Total Points and Rebounds_Over,2.0199999999999996
Cedi Osman_Total Rebounds and Assists_2021-02-19,1,0.18,Total Rebounds and Assists_Over,1.5599999999999987
Collin Sexton_Total Rebounds and Assists_2021-02-19,0,0.07,Total Rebounds and Assists_Over,0.8200000000000003
Darius Garland_Total Rebounds and Assists_2021-02-19,0,0.19,Total Rebounds and Assists_Over,1.8000000000000007
Isaac Okoro_Total Rebounds and Assists_2021-02-19,1,0.09,Total Rebounds and Assists_Under,0.9199999999999999
Michael Porter Jr._Total Rebounds and Assists_2021-02-19,0,0.01,Total Rebounds and Assists_Under,0.14999999999999947
Nikola Jokic_Total Rebounds and Assists_2021-02-19,1,0.07,Total Rebounds and Assists_Over,2.219999999999999
"Cedi Osman_Total Points, Rebounds and Assists_2021-02-19",1,0.09,"Total Points, Rebounds and Assists_Over",2.759999999999998
"Darius Garland_Total Points, Rebounds and Assists_2021-02-19",0,0.02,"Total Points, Rebounds and Assists_Over",1.1000000000000014
"Isaac Okoro_Total Points, Rebounds and Assists_2021-02-19",0,0.06,"Total Points, Rebounds and Assists_Under",1.2200000000000006
"Jamal Murray_Total Points, Rebounds and Assists_2021-02-19",0,0.01,"Total Points, Rebounds and Assists_Under",1.2399999999999984
"Michael Porter Jr._Total Points, Rebounds and Assists_2021-02-19",1,0.01,"Total Points, Rebounds and Assists_Over",0.9500000000000028
Damian Lillard_Total Points_2021-02-20,1,0.01,Total Points_Over,2.1000000000000014
Enes Kanter_Total Points_2021-02-20,1,0.05,Total Points_Over,1
Gary Trent Jr._Total Points_2021-02-20,1,0.03,Total Points_Under,1.1000000000000014
Robert Covington_Total Points_2021-02-20,1,0.02,Total Points_Over,0.5999999999999996
Rui Hachimura_Total Points_2021-02-20,1,0.06,Total Points_Over,1.4000000000000004
Russell Westbrook_Total Points_2021-02-20,1,0.04,Total Points_Over,1.6000000000000014
Bradley Beal_Total Rebounds and Assists_2021-02-20,1,0.03,Total Rebounds and Assists_Over,0.6899999999999995
Damian Lillard_Total Rebounds and Assists_2021-02-20,1,0.08,Total Rebounds and Assists_Over,1.5199999999999996
Derrick Jones Jr._Total Rebounds and Assists_2021-02-20,1,0.21,Total Rebounds and Assists_Over,1.3200000000000003
Enes Kanter_Total Rebounds and Assists_2021-02-20,0,0.08,Total Rebounds and Assists_Over,1.990000000000002
Gary Trent Jr._Total Rebounds and Assists_2021-02-20,1,0.34,Total Rebounds and Assists_Over,1.4500000000000002
Robert Covington_Total Rebounds and Assists_2021-02-20,1,0.11,Total Rebounds and Assists_Over,1.379999999999999
Rui Hachimura_Total Rebounds and Assists_2021-02-20,1,0.02,Total Rebounds and Assists_Under,0.5099999999999998
"Damian Lillard_Total Points, Rebounds and Assists_2021-02-20",1,0.04,"Total Points, Rebounds and Assists_Over",4.1200000000000045
"Derrick Jones Jr._Total Points, Rebounds and Assists_2021-02-20",1,0.03,"Total Points, Rebounds and Assists_Over",1.0199999999999996
"Enes Kanter_Total Points, Rebounds and Assists_2021-02-20",1,0.05,"Total Points, Rebounds and Assists_Over",2.490000000000002
"Robert Covington_Total Points, Rebounds and Assists_2021-02-20",1,0.06,"Total Points, Rebounds and Assists_Over",1.4799999999999969
"Rui Hachimura_Total Points, Rebounds and Assists_2021-02-20",1,0.01,"Total Points, Rebounds and Assists_Over",0.8900000000000006
Garrett Temple_Total Points_2021-02-20,1,0.05,Total Points_Over,0.9000000000000004
Patrick Williams_Total Points_2021-02-20,0,0.06,Total Points_Over,0.8000000000000007
Zach Lavine_Total Points_2021-02-20,0,0.02,Total Points_Under,1.3999999999999986
Buddy Hield_Total Rebounds and Assists_2021-02-20,1,0.09,Total Rebounds and Assists_Over,0.9199999999999999
Coby White_Total Rebounds and Assists_2021-02-20,0,0.03,Total Rebounds and Assists_Over,0.5700000000000003
De'Aaron Fox_Total Rebounds and Assists_2021-02-20,1,0.02,Total Rebounds and Assists_Over,0.46000000000000085
Garrett Temple_Total Rebounds and Assists_2021-02-20,0,0.17,Total Rebounds and Assists_Over,1.1100000000000003
Wendell Carter Jr._Total Rebounds and Assists_2021-02-20,1,0.09,Total Rebounds and Assists_Over,1.0399999999999991
Zach Lavine_Total Rebounds and Assists_2021-02-20,0,0.03,Total Rebounds and Assists_Over,0.7100000000000009
"De'Aaron Fox_Total Points, Rebounds and Assists_2021-02-20",0,0.01,"Total Points, Rebounds and Assists_Over",1.7600000000000051
"Garrett Temple_Total Points, Rebounds and Assists_2021-02-20",1,0.12,"Total Points, Rebounds and Assists_Over",2.509999999999998
"Patrick Williams_Total Points, Rebounds and Assists_2021-02-20",1,0.01,"Total Points, Rebounds and Assists_Over",0.39000000000000057
Deandre Ayton_Total Points_2021-02-20,0,0.02,Total Points_Over,0.40000000000000036
Jonas Valanciunas_Total Points_2021-02-20,0,0.02,Total Points_Over,1.1999999999999993
Mikal Bridges_Total Points_2021-02-20,1,0.02,Total Points_Over,0.5
Jonas Valanciunas_Total Points and Rebounds_2021-02-20,0,0.03,Total Points and Rebounds_Over,1.879999999999999
Mikal Bridges_Total Rebounds and Assists_2021-02-20,1,0.2,Total Rebounds and Assists_Over,1.42
"Ja Morant_Total Points, Rebounds and Assists_2021-02-20",0,0.01,"Total Points, Rebounds and Assists_Over",1.5300000000000011
"Mikal Bridges_Total Points, Rebounds and Assists_2021-02-20",1,0.04,"Total Points, Rebounds and Assists_Over",1.4200000000000017
Duncan Robinson_Total Points_2021-02-20,0,0.1,Total Points_Over,1.5999999999999996
Kendrick Nunn_Total Points_2021-02-20,1,0.03,Total Points_Over,1
Kyle Kuzma_Total Points_2021-02-20,0,0.01,Total Points_Under,0.9000000000000004
LeBron James_Total Points_2021-02-20,1,0.05,Total Points_Under,2.1000000000000014
Marc Gasol_Total Points_2021-02-20,0,0.03,Total Points_Under,0.2999999999999998
Duncan Robinson_Total Rebounds and Assists_2021-02-20,1,0.09,Total Rebounds and Assists_Over,0.5099999999999998
Jimmy Butler_Total Rebounds and Assists_2021-02-20,1,0.07,Total Rebounds and Assists_Under,2.17
Kelly Olynyk_Total Rebounds and Assists_2021-02-20,0,0.04,Total Rebounds and Assists_Under,0.33999999999999986
Marc Gasol_Total Rebounds and Assists_2021-02-20,1,0.15,Total Rebounds and Assists_Over,1.1099999999999994
"Duncan Robinson_Total Points, Rebounds and Assists_2021-02-20",1,0.09,"Total Points, Rebounds and Assists_Over",1.6099999999999994
"Jimmy Butler_Total Points, Rebounds and Assists_2021-02-20",0,0.03,"Total Points, Rebounds and Assists_Under",1.5699999999999932
"LeBron James_Total Points, Rebounds and Assists_2021-02-20",1,0.02,"Total Points, Rebounds and Assists_Under",2.299999999999997
Duncan Robinson_Total Made 3 Point Shots_2021-02-20,0,0.29,Total Made 3 Point Shots_Over,1.02
Kelly Olynyk_Total Made 3 Point Shots_2021-02-20,1,0.06,Total Made 3 Point Shots_Under,0.1100000000000001
Kendrick Nunn_Total Made 3 Point Shots_2021-02-20,0,0.06,Total Made 3 Point Shots_Under,0.54
Kyle Kuzma_Total Made 3 Point Shots_2021-02-20,1,0.14,Total Made 3 Point Shots_Over,0.3899999999999999
LeBron James_Total Made 3 Point Shots_2021-02-20,0,0.03,Total Made 3 Point Shots_Over,0.08000000000000007
Bam Adebayo_Total Blocks and Steals_2021-02-20,1,0.29,Total Blocks and Steals_Over,0.5800000000000001
Jimmy Butler_Total Blocks and Steals_2021-02-20,1,0.35,Total Blocks and Steals_Over,0.79
Kyle Kuzma_Total Blocks and Steals_2021-02-20,1,0.12,Total Blocks and Steals_Under,0.42999999999999994
LeBron James_Total Blocks and Steals_2021-02-20,1,0.03,Total Blocks and Steals_Over,0.17999999999999994
Andrew Wiggins_Total Points_2021-02-20,1,0.11,Total Points_Over,2.8000000000000007
Cody Zeller_Total Points_2021-02-20,0,0.01,Total Points_Over,0.5999999999999996
Gordon Hayward_Total Points_2021-02-20,0,0.11,Total Points_Over,3.3000000000000007
Kelly Oubre Jr._Total Points_2021-02-20,1,0.15,Total Points_Over,3.3999999999999986
P.J. Washington_Total Points_2021-02-20,1,0.06,Total Points_Over,1.1999999999999993
Andrew Wiggins_Total Rebounds and Assists_2021-02-20,1,0.05,Total Rebounds and Assists_Over,0.71
Kelly Oubre Jr._Total Rebounds and Assists_2021-02-20,0,0.07,Total Rebounds and Assists_Over,0.9000000000000004
LaMelo Ball_Total Rebounds and Assists_2021-02-20,0,0.03,Total Rebounds and Assists_Over,1.3000000000000007
P.J. Washington_Total Rebounds and Assists_2021-02-20,0,0.02,Total Rebounds and Assists_Over,0.4299999999999997
Stephen Curry_Total Rebounds and Assists_2021-02-20,0,0.04,Total Rebounds and Assists_Over,0.8599999999999994
Terry Rozier_Total Rebounds and Assists_2021-02-20,0,0.09,Total Rebounds and Assists_Over,0.9299999999999997
"Andrew Wiggins_Total Points, Rebounds and Assists_2021-02-20",1,0.14,"Total Points, Rebounds and Assists_Over",3.0100000000000016
"Gordon Hayward_Total Points, Rebounds and Assists_2021-02-20",0,0.06,"Total Points, Rebounds and Assists_Over",3.0799999999999983
"Kelly Oubre Jr._Total Points, Rebounds and Assists_2021-02-20",1,0.09,"Total Points, Rebounds and Assists_Over",3.799999999999997
"P.J. Washington_Total Points, Rebounds and Assists_2021-02-20",1,0.02,"Total Points, Rebounds and Assists_Over",1.1300000000000026
Buddy Hield_Total Points_2021-02-21,0,0.01,Total Points_Over,0.6999999999999993
Khris Middleton_Total Points_2021-02-21,1,0.02,Total Points_Over,0.8999999999999986
Buddy Hield_Total Rebounds and Assists_2021-02-21,0,0.08,Total Rebounds and Assists_Over,0.9000000000000004
D.J. Augustin_Total Rebounds and Assists_2021-02-21,1,0.04,Total Rebounds and Assists_Under,0.40000000000000036
Giannis Antetokounmpo_Total Rebounds and Assists_2021-02-21,0,0.06,Total Rebounds and Assists_Under,2.450000000000003
"Buddy Hield_Total Points, Rebounds and Assists_2021-02-21",0,0.03,"Total Points, Rebounds and Assists_Over",1.5999999999999979
"D.J. Augustin_Total Points, Rebounds and Assists_2021-02-21",1,0.04,"Total Points, Rebounds and Assists_Under",1.3000000000000007
"Giannis Antetokounmpo_Total Points, Rebounds and Assists_2021-02-21",0,0.01,"Total Points, Rebounds and Assists_Under",3.0500000000000043
Joe Harris_Total Points_2021-02-21,1,0.02,Total Points_Under,0.8000000000000007
Kyrie Irving_Total Points_2021-02-21,1,0.02,Total Points_Over,1.8000000000000007
Nicolas Batum_Total Points_2021-02-21,0,0.03,Total Points_Over,0.5
Patrick Beverley_Total Points_2021-02-21,1,0.11,Total Points_Under,1.4000000000000004
Joe Harris_Total Rebounds and Assists_2021-02-21,0,0.1,Total Rebounds and Assists_Over,0.6899999999999995
Kyrie Irving_Total Rebounds and Assists_2021-02-21,1,0.04,Total Rebounds and Assists_Over,0.7100000000000009
Nicolas Batum_Total Rebounds and Assists_2021-02-21,1,0.13,Total Rebounds and Assists_Over,1
Patrick Beverley_Total Rebounds and Assists_2021-02-21,1,0.07,Total Rebounds and Assists_Over,0.5800000000000001
Serge Ibaka_Total Rebounds and Assists_2021-02-21,0,0.03,Total Rebounds and Assists_Under,0.7200000000000006
"Kyrie Irving_Total Points, Rebounds and Assists_2021-02-21",1,0.03,"Total Points, Rebounds and Assists_Over",3.009999999999998
"Nicolas Batum_Total Points, Rebounds and Assists_2021-02-21",0,0.08,"Total Points, Rebounds and Assists_Over",1.5
Joe Harris_Total Made 3 Point Shots_2021-02-21,0,0.05,Total Made 3 Point Shots_Under,0.06999999999999984
Kawhi Leonard_Total Made 3 Point Shots_2021-02-21,1,0.28,Total Made 3 Point Shots_Over,0.6099999999999999
Kyrie Irving_Total Made 3 Point Shots_2021-02-21,0,0.26,Total Made 3 Point Shots_Over,0.6200000000000001
James Harden_Total Blocks and Steals_2021-02-21,1,0.35,Total Blocks and Steals_Over,0.77
Kawhi Leonard_Total Blocks and Steals_2021-02-21,0,0.51,Total Blocks and Steals_Over,0.96
Kyrie Irving_Total Blocks and Steals_2021-02-21,0,0.17,Total Blocks and Steals_Over,0.25
Cam Reddish_Total Points_2021-02-21,0,0.02,Total Points_Over,0.5999999999999996
Jamal Murray_Total Points_2021-02-21,0,0.03,Total Points_Under,1.8000000000000007
Kevin Huerter_Total Points_2021-02-21,0,0.09,Total Points_Over,1.1999999999999993
Michael Porter Jr._Total Points_2021-02-21,0,0.1,Total Points_Over,2.3000000000000007
Clint Capela_Total Rebounds_2021-02-21,0,0.05,Total Rebounds_Over,1.1099999999999994
Cam Reddish_Total Rebounds and Assists_2021-02-21,0,0.06,Total Rebounds and Assists_Over,0.5200000000000005
Jamal Murray_Total Rebounds and Assists_2021-02-21,0,0.02,Total Rebounds and Assists_Over,0.6900000000000013
John Collins_Total Rebounds and Assists_2021-02-21,1,0.01,Total Rebounds and Assists_Over,0.5700000000000003
Kevin Huerter_Total Rebounds and Assists_2021-02-21,0,0.17,Total Rebounds and Assists_Over,1.4299999999999997
Nikola Jokic_Total Rebounds and Assists_2021-02-21,0,0.05,Total Rebounds and Assists_Over,1.4799999999999969
Trae Young_Total Rebounds and Assists_2021-02-21,1,0.02,Total Rebounds and Assists_Over,1.25
"Cam Reddish_Total Points, Rebounds and Assists_2021-02-21",0,0.03,"Total Points, Rebounds and Assists_Over",1.120000000000001
"Jamal Murray_Total Points, Rebounds and Assists_2021-02-21",0,0.02,"Total Points, Rebounds and Assists_Under",1.6099999999999994
"Kevin Huerter_Total Points, Rebounds and Assists_2021-02-21",0,0.16,"Total Points, Rebounds and Assists_Over",3.129999999999999
"Michael Porter Jr._Total Points, Rebounds and Assists_2021-02-21",0,0.04,"Total Points, Rebounds and Assists_Over",1.8599999999999994
"Nikola Jokic_Total Points, Rebounds and Assists_2021-02-21",0,0.02,"Total Points, Rebounds and Assists_Over",2.0799999999999983
Dennis Smith Jr._Total Points_2021-02-21,0,0.03,Total Points_Over,0.5999999999999996
Evan Fournier_Total Points_2021-02-21,0,0.01,Total Points_Under,0.1999999999999993
James Ennis III_Total Points_2021-02-21,1,0.13,Total Points_Under,1.2000000000000002
Jerami Grant_Total Points_2021-02-21,1,0.06,Total Points_Over,1.8999999999999986
Saddiq Bey_Total Points_2021-02-21,0,0.05,Total Points_Over,0.9000000000000004
Wayne Ellington_Total Points_2021-02-21,0,0.04,Total Points_Over,0.6999999999999993
James Ennis III_Total Rebounds and Assists_2021-02-21,1,0.26,Total Rebounds and Assists_Under,1.6600000000000001
Jerami Grant_Total Rebounds and Assists_2021-02-21,1,0.17,Total Rebounds and Assists_Over,1.6799999999999997
Wayne Ellington_Total Rebounds and Assists_2021-02-21,0,0.01,Total Rebounds and Assists_Over,0.04999999999999982
"James Ennis III_Total Points, Rebounds and Assists_2021-02-21",1,0.18,"Total Points, Rebounds and Assists_Under",2.8599999999999994
"Jerami Grant_Total Points, Rebounds and Assists_2021-02-21",1,0.09,"Total Points, Rebounds and Assists_Over",4.079999999999998
"Mason Plumlee_Total Points, Rebounds and Assists_2021-02-21",1,0.01,"Total Points, Rebounds and Assists_Under",1.5199999999999996
"Wayne Ellington_Total Points, Rebounds and Assists_2021-02-21",0,0.02,"Total Points, Rebounds and Assists_Over",0.6499999999999986
Ben Simmons_Total Points_2021-02-21,0,0.09,Total Points_Under,1.9000000000000004
Danny Green_Total Points_2021-02-21,1,0.08,Total Points_Over,1.0999999999999996
Joel Embiid_Total Points_2021-02-21,1,0.07,Total Points_Under,3.3000000000000007
OG Anunoby_Total Points_2021-02-21,1,0.04,Total Points_Under,0.8000000000000007
Seth Curry_Total Points_2021-02-21,0,0.06,Total Points_Over,1.1999999999999993
Tobias Harris_Total Points_2021-02-21,0,0.02,Total Points_Over,1.1000000000000014
Danny Green_Total Rebounds and Assists_2021-02-21,0,0.18,Total Rebounds and Assists_Over,1.12
Joel Embiid_Total Rebounds and Assists_2021-02-21,0,0.01,Total Rebounds and Assists_Under,0.3000000000000007
Norman Powell_Total Rebounds and Assists_2021-02-21,0,0.05,Total Rebounds and Assists_Over,0.4399999999999995
OG Anunoby_Total Rebounds and Assists_2021-02-21,1,0.08,Total Rebounds and Assists_Under,0.8599999999999994
Seth Curry_Total Rebounds and Assists_2021-02-21,1,0.07,Total Rebounds and Assists_Over,0.3899999999999997
Tobias Harris_Total Rebounds and Assists_2021-02-21,1,0.01,Total Rebounds and Assists_Over,0.7300000000000004
"Ben Simmons_Total Points, Rebounds and Assists_2021-02-21",0,0.03,"Total Points, Rebounds and Assists_Under",1.8900000000000006
"Danny Green_Total Points, Rebounds and Assists_2021-02-21",0,0.1,"Total Points, Rebounds and Assists_Over",2.219999999999999
"Joel Embiid_Total Points, Rebounds and Assists_2021-02-21",1,0.04,"Total Points, Rebounds and Assists_Under",4.100000000000001
"OG Anunoby_Total Points, Rebounds and Assists_2021-02-21",1,0.04,"Total Points, Rebounds and Assists_Under",1.1600000000000001
"Seth Curry_Total Points, Rebounds and Assists_2021-02-21",1,0.11,"Total Points, Rebounds and Assists_Over",2.09
Al Horford_Total Points_2021-02-21,1,0.05,Total Points_Over,1.4000000000000004
Cedi Osman_Total Points_2021-02-21,1,0.01,Total Points_Under,0.40000000000000036
Collin Sexton_Total Points_2021-02-21,0,0.01,Total Points_Under,1.5
Isaac Okoro_Total Points_2021-02-21,0,0.09,Total Points_Under,1
Jarrett Allen_Total Points_2021-02-21,1,0.1,Total Points_Over,2.1999999999999993
Luguentz Dort_Total Points_2021-02-21,0,0.02,Total Points_Over,0.5
Theo Maledon_Total Points_2021-02-21,1,0.12,Total Points_Over,1.3000000000000007
Jarrett Allen_Total Points and Rebounds_2021-02-21,1,0.05,Total Points and Rebounds_Over,2.6099999999999994
Al Horford_Total Rebounds and Assists_2021-02-21,0,0.01,Total Rebounds and Assists_Over,0.629999999999999
Cedi Osman_Total Rebounds and Assists_2021-02-21,0,0.04,Total Rebounds and Assists_Under,0.8100000000000005
Collin Sexton_Total Rebounds and Assists_2021-02-21,1,0.15,Total Rebounds and Assists_Over,1.5299999999999994
Darius Garland_Total Rebounds and Assists_2021-02-21,1,0.28,Total Rebounds and Assists_Over,2.3000000000000007
Isaac Okoro_Total Rebounds and Assists_2021-02-21,0,0.08,Total Rebounds and Assists_Under,0.7799999999999994
Luguentz Dort_Total Rebounds and Assists_2021-02-21,0,0.09,Total Rebounds and Assists_Over,0.5700000000000003
Theo Maledon_Total Rebounds and Assists_2021-02-21,0,0.15,Total Rebounds and Assists_Over,1.1100000000000003
"Al Horford_Total Points, Rebounds and Assists_2021-02-21",1,0.03,"Total Points, Rebounds and Assists_Over",1.5300000000000011
"Cedi Osman_Total Points, Rebounds and Assists_2021-02-21",1,0.04,"Total Points, Rebounds and Assists_Under",1.7100000000000009
"Darius Garland_Total Points, Rebounds and Assists_2021-02-21",1,0.05,"Total Points, Rebounds and Assists_Over",1.8000000000000007
"Isaac Okoro_Total Points, Rebounds and Assists_2021-02-21",0,0.09,"Total Points, Rebounds and Assists_Under",1.7800000000000011
"Luguentz Dort_Total Points, Rebounds and Assists_2021-02-21",0,0.04,"Total Points, Rebounds and Assists_Over",1.5700000000000003
"Theo Maledon_Total Points, Rebounds and Assists_2021-02-21",1,0.09,"Total Points, Rebounds and Assists_Over",1.9100000000000001
Elfrid Payton_Total Points_2021-02-21,1,0.06,Total Points_Under,1.1999999999999993
Malik Beasley_Total Points_2021-02-21,0,0.07,Total Points_Over,2.3999999999999986
Nerlens Noel_Total Points_2021-02-21,1,0.08,Total Points_Over,0.8000000000000007
Reggie Bullock_Total Points_2021-02-21,1,0.11,Total Points_Over,1.1999999999999993
Ricky Rubio_Total Points_2021-02-21,0,0.01,Total Points_Under,0.40000000000000036
RJ Barrett_Total Points_2021-02-21,0,0.07,Total Points_Under,2
Elfrid Payton_Total Rebounds and Assists_2021-02-21,0,0.03,Total Rebounds and Assists_Under,0.75
Julius Randle_Total Rebounds and Assists_2021-02-21,1,0.04,Total Rebounds and Assists_Over,1.5499999999999972
Malik Beasley_Total Rebounds and Assists_2021-02-21,0,0.08,Total Rebounds and Assists_Over,0.7599999999999998
Nerlens Noel_Total Rebounds and Assists_2021-02-21,1,0.05,Total Rebounds and Assists_Over,0.8600000000000012
Ricky Rubio_Total Rebounds and Assists_2021-02-21,1,0.01,Total Rebounds and Assists_Under,0.3699999999999992
"Elfrid Payton_Total Points, Rebounds and Assists_2021-02-21",0,0.04,"Total Points, Rebounds and Assists_Under",1.4499999999999993
"Julius Randle_Total Points, Rebounds and Assists_2021-02-21",1,0.02,"Total Points, Rebounds and Assists_Over",3.4499999999999957
"Malik Beasley_Total Points, Rebounds and Assists_2021-02-21",0,0.07,"Total Points, Rebounds and Assists_Over",2.6599999999999966
"Nerlens Noel_Total Points, Rebounds and Assists_2021-02-21",1,0.08,"Total Points, Rebounds and Assists_Over",2.16
"Reggie Bullock_Total Points, Rebounds and Assists_2021-02-21",0,0.03,"Total Points, Rebounds and Assists_Over",0.6600000000000001
"Ricky Rubio_Total Points, Rebounds and Assists_2021-02-21",0,0.03,"Total Points, Rebounds and Assists_Under",1.2699999999999996
"RJ Barrett_Total Points, Rebounds and Assists_2021-02-21",0,0.04,"Total Points, Rebounds and Assists_Under",1.9100000000000001
Marc Gasol_Total Points_2021-02-22,0,0.02,Total Points_Under,0.2999999999999998
Russell Westbrook_Total Points_2021-02-22,1,0.01,Total Points_Over,0.8999999999999986
Bradley Beal_Total Rebounds and Assists_2021-02-22,1,0.08,Total Rebounds and Assists_Over,1.0199999999999996
Marc Gasol_Total Rebounds and Assists_2021-02-22,1,0.23,Total Rebounds and Assists_Over,1.9100000000000001
"Marc Gasol_Total Points, Rebounds and Assists_2021-02-22",1,0.03,"Total Points, Rebounds and Assists_Over",1.1100000000000012
"Russell Westbrook_Total Points, Rebounds and Assists_2021-02-22",1,0.01,"Total Points, Rebounds and Assists_Over",0.9600000000000009
"Wesley Matthews_Total Points, Rebounds and Assists_2021-02-22",1,0.01,"Total Points, Rebounds and Assists_Under",0.7599999999999998
Bradley Beal_Total Made 3 Point Shots_2021-02-22,0,0.24,Total Made 3 Point Shots_Over,0.5099999999999998
Kyle Kuzma_Total Made 3 Point Shots_2021-02-22,1,0.18,Total Made 3 Point Shots_Over,0.45999999999999996
LeBron James_Total Made 3 Point Shots_2021-02-22,0,0.19,Total Made 3 Point Shots_Over,0.27
Marc Gasol_Total Made 3 Point Shots_2021-02-22,1,0.51,Total Made 3 Point Shots_Over,0.36
Russell Westbrook_Total Made 3 Point Shots_2021-02-22,0,0.99,Total Made 3 Point Shots_Over,0.6000000000000001
Wesley Matthews_Total Made 3 Point Shots_2021-02-22,1,0.03,Total Made 3 Point Shots_Under,0.030000000000000027
Chris Paul_Total Points_2021-02-22,1,0.04,Total Points_Under,1.6000000000000014
Enes Kanter_Total Points_2021-02-22,0,0.01,Total Points_Over,0.3000000000000007
Enes Kanter_Total Rebounds_2021-02-22,1,0.04,Total Rebounds_Over,1.17
Enes Kanter_Total Points and Rebounds_2021-02-22,0,0.02,Total Points and Rebounds_Over,1.4699999999999989
Chris Paul_Total Rebounds and Assists_2021-02-22,1,0.02,Total Rebounds and Assists_Under,0.6899999999999995
Derrick Jones Jr._Total Rebounds and Assists_2021-02-22,1,0.15,Total Rebounds and Assists_Over,1.0499999999999998
Devin Booker_Total Rebounds and Assists_2021-02-22,1,0.05,Total Rebounds and Assists_Under,0.1899999999999995
Gary Trent Jr._Total Rebounds and Assists_2021-02-22,0,0.13,Total Rebounds and Assists_Over,0.7800000000000002
Mikal Bridges_Total Rebounds and Assists_2021-02-22,1,0.03,Total Rebounds and Assists_Over,0.5599999999999996
Robert Covington_Total Rebounds and Assists_2021-02-22,0,0.06,Total Rebounds and Assists_Over,1.0999999999999996
"Chris Paul_Total Points, Rebounds and Assists_2021-02-22",1,0.11,"Total Points, Rebounds and Assists_Under",2.789999999999999
Chris Paul_Total Made 3 Point Shots_2021-02-22,1,0.1,Total Made 3 Point Shots_Under,0.6599999999999999
Gary Trent Jr._Total Made 3 Point Shots_2021-02-22,0,0.02,Total Made 3 Point Shots_Over,0.08000000000000007
Mikal Bridges_Total Made 3 Point Shots_2021-02-22,1,0.09,Total Made 3 Point Shots_Over,0.17999999999999994
Robert Covington_Total Made 3 Point Shots_2021-02-22,1,0.07,Total Made 3 Point Shots_Over,0.21999999999999997
Bojan Bogdanovic_Total Points_2021-02-22,0,0.06,Total Points_Over,1.1999999999999993
Donovan Mitchell_Total Points_2021-02-22,1,0.04,Total Points_Under,2.1999999999999993
P.J. Washington_Total Points_2021-02-22,1,0.03,Total Points_Over,0.09999999999999964
Royce O'Neale_Total Points_2021-02-22,1,0.05,Total Points_Over,0.5999999999999996
Rudy Gobert_Total Rebounds_2021-02-22,1,0.06,Total Rebounds_Under,1.0500000000000007
Cody Zeller_Total Points and Rebounds_2021-02-22,1,0.02,Total Points and Rebounds_Under,0.8900000000000006
Rudy Gobert_Total Points and Rebounds_2021-02-22,1,0.01,Total Points and Rebounds_Under,1.3500000000000014
Donovan Mitchell_Total Rebounds and Assists_2021-02-22,0,0.02,Total Rebounds and Assists_Under,0.8000000000000007
